 ,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,end node
microwave,0.0633,0.0008,0.0016,0.0003,0.0,0.0,0.0,0.0004,0.0001,0.0001,0.0001,0.0,0.0001,0.0009,0.001,0.0049,0.0035,0.0001,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0024,0.0012,0.0068,0.0005,0.0022,0.0001,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0787,0.0117,0.0624,0.0075,0.0362,0.0315,0.0692,0.0088,0.0094,0.0026,0.009,0.0018,0.0018,0.0008,0.0055,0.0013,0.0059,0.057,0.0132,0.0249,0.0039,0.0502,0.0007,0.0115,0.0071,0.0013,0.0055,0.0024,0.0054,0.0,0.1184,0.0127,0.0876,0.0894,0.0214,0.017,0.0203,0.0037,0.0012,0.0003,0.0008,0.0077
oven,0.0805,0.0007,0.0013,0.0,0.0001,0.0,0.0002,0.0005,0.0002,0.0002,0.0,0.0001,0.0,0.0006,0.0016,0.0028,0.0042,0.0004,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0026,0.0006,0.0059,0.0013,0.0013,0.0001,0.0001,0.0,0.0002,0.0,0.0001,0.0,0.0002,0.0,0.0002,0.0884,0.0138,0.0631,0.0077,0.0443,0.0481,0.086,0.0084,0.0094,0.0031,0.0095,0.0045,0.0049,0.0014,0.0169,0.0025,0.0085,0.0483,0.0086,0.0244,0.0019,0.0475,0.0005,0.0081,0.0051,0.0008,0.0029,0.0009,0.0041,0.0708,0.0,0.0097,0.0915,0.0802,0.0161,0.0183,0.0197,0.0039,0.0005,0.0002,0.0002,0.0097
toaster,0.0379,0.0008,0.0008,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0024,0.0016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0008,0.0039,0.0,0.0008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0908,0.0142,0.064,0.0047,0.0466,0.0411,0.0742,0.0118,0.0118,0.0032,0.0095,0.0024,0.0039,0.0,0.0039,0.0008,0.0087,0.0482,0.0087,0.03,0.0032,0.0498,0.0,0.0063,0.0047,0.0,0.0008,0.0008,0.0039,0.0766,0.0979,0.0,0.0916,0.0616,0.0182,0.0142,0.0197,0.0087,0.0016,0.0,0.0,0.0063
sink,0.0655,0.0005,0.0007,0.0,0.0001,0.0,0.0001,0.0001,0.0003,0.0001,0.0001,0.0,0.0,0.0015,0.0012,0.012,0.0036,0.0005,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0028,0.0005,0.0087,0.0012,0.0018,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.1146,0.0112,0.0719,0.0049,0.0303,0.0277,0.0641,0.0063,0.0068,0.002,0.0071,0.0019,0.0019,0.0005,0.0029,0.0011,0.0028,0.0409,0.0081,0.0309,0.005,0.0329,0.1083,0.0092,0.0043,0.0006,0.0026,0.001,0.0061,0.0431,0.0754,0.0075,0.0,0.0521,0.0142,0.0123,0.0276,0.0045,0.001,0.0063,0.0276,0.0185
refrigerator,0.0832,0.0017,0.0033,0.0005,0.0002,0.0,0.0001,0.001,0.0003,0.0001,0.0,0.0003,0.0,0.0011,0.0013,0.0087,0.0053,0.0003,0.0001,0.0003,0.0003,0.0002,0.0,0.0,0.0045,0.001,0.0092,0.002,0.0018,0.0004,0.0001,0.0,0.0004,0.0002,0.0001,0.0,0.0003,0.0001,0.0003,0.0947,0.0124,0.0569,0.0047,0.0276,0.0253,0.0673,0.009,0.0112,0.0027,0.0104,0.0016,0.0027,0.0012,0.0051,0.0024,0.0063,0.0665,0.0173,0.0268,0.0045,0.0545,0.0005,0.0136,0.0071,0.0019,0.0062,0.0021,0.0072,0.065,0.0975,0.0074,0.0769,0.0,0.0222,0.0165,0.0195,0.003,0.0011,0.0001,0.0006,0.0119
book,0.0999,0.0031,0.004,0.0011,0.0004,0.0006,0.0008,0.0009,0.0005,0.0006,0.0002,0.0002,0.0001,0.0073,0.0026,0.0226,0.0124,0.0011,0.0001,0.0001,0.0004,0.0004,0.0,0.0,0.012,0.0037,0.0179,0.0089,0.0084,0.0003,0.0,0.0001,0.002,0.0002,0.0005,0.0003,0.0004,0.0004,0.0006,0.0407,0.0098,0.0485,0.0061,0.009,0.0082,0.0261,0.0036,0.0037,0.0028,0.0032,0.0012,0.0015,0.0008,0.0033,0.0023,0.0053,0.0924,0.0597,0.0322,0.0331,0.0468,0.0037,0.0644,0.0456,0.0303,0.037,0.0294,0.0259,0.0071,0.009,0.001,0.0096,0.0102,0.0,0.0204,0.0297,0.0062,0.0119,0.0005,0.0023,0.0002
clock,0.1489,0.0076,0.039,0.004,0.0009,0.0129,0.0068,0.011,0.0052,0.0165,0.0021,0.002,0.0007,0.0142,0.0085,0.0049,0.0055,0.0025,0.0002,0.0004,0.0007,0.0002,0.0,0.0001,0.0153,0.0064,0.0256,0.0083,0.0056,0.001,0.0003,0.0002,0.0045,0.0006,0.0008,0.0007,0.001,0.0009,0.0065,0.0334,0.0092,0.0296,0.0059,0.0112,0.0102,0.0222,0.0024,0.0041,0.0028,0.0034,0.0007,0.0012,0.0012,0.0034,0.0012,0.0045,0.06,0.027,0.0277,0.0165,0.0334,0.0016,0.0263,0.0118,0.0063,0.0145,0.0073,0.0125,0.0102,0.0183,0.0014,0.0149,0.0135,0.0364,0.0,0.0209,0.0027,0.0036,0.0006,0.0014,0.1123
vase,0.0625,0.0013,0.003,0.0002,0.0001,0.0002,0.0001,0.0005,0.0008,0.0003,0.0002,0.0001,0.0001,0.0038,0.0022,0.0077,0.0059,0.0013,0.0002,0.0001,0.0002,0.0002,0.0001,0.0,0.0041,0.0021,0.0086,0.0058,0.0017,0.0,0.0,0.0,0.0004,0.0001,0.0,0.0,0.0002,0.0001,0.0002,0.051,0.0214,0.0569,0.0103,0.0156,0.0138,0.0479,0.0042,0.006,0.0032,0.0062,0.001,0.0016,0.0004,0.0021,0.0016,0.008,0.0961,0.0582,0.1024,0.0113,0.0823,0.0084,0.0341,0.0121,0.0037,0.0166,0.0042,0.0071,0.0116,0.0187,0.0019,0.0319,0.0153,0.0506,0.0199,0.0,0.0026,0.0046,0.0007,0.0022,0.0379
scissors,0.1454,0.0019,0.0034,0.0004,0.0,0.0,0.0,0.0019,0.0,0.0004,0.0,0.0007,0.0,0.0022,0.0037,0.0116,0.0037,0.0004,0.0034,0.0,0.0,0.0,0.0,0.0,0.0052,0.0022,0.0097,0.0086,0.0015,0.0004,0.0,0.0,0.0022,0.0011,0.0007,0.0,0.0,0.0,0.0004,0.06,0.0071,0.0626,0.0093,0.0369,0.0235,0.0433,0.0041,0.0045,0.0026,0.003,0.0022,0.0045,0.0015,0.0089,0.0011,0.0082,0.0507,0.0101,0.0145,0.0045,0.0492,0.0019,0.0295,0.0291,0.0254,0.0086,0.0272,0.019,0.0104,0.0186,0.0041,0.0257,0.0116,0.0529,0.013,0.013,0.0,0.0034,0.0007,0.0056,0.0768
teddy bear,0.1869,0.0055,0.0175,0.0033,0.0004,0.0017,0.0015,0.0035,0.0024,0.0015,0.0011,0.0007,0.0,0.0116,0.0026,0.0196,0.0216,0.0017,0.0015,0.0011,0.0007,0.0035,0.0,0.0004,0.0107,0.0061,0.0216,0.0183,0.007,0.0002,0.0007,0.0002,0.0037,0.0024,0.0002,0.0,0.0007,0.0004,0.0004,0.0284,0.005,0.0288,0.0026,0.0041,0.0041,0.0148,0.0026,0.0028,0.0026,0.0017,0.0004,0.0013,0.0002,0.002,0.0022,0.0105,0.0718,0.0463,0.0218,0.0747,0.0301,0.0028,0.0262,0.0127,0.0092,0.0122,0.0114,0.0116,0.002,0.0013,0.0004,0.0033,0.0026,0.0592,0.01,0.0135,0.002,0.0,0.0007,0.0022,0.0947
hair drier,0.1956,0.0,0.004,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.014,0.02,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.02,0.002,0.012,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0878,0.0,0.0599,0.0,0.0,0.002,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0439,0.02,0.004,0.018,0.014,0.0878,0.014,0.004,0.0,0.002,0.004,0.01,0.004,0.004,0.0,0.1956,0.002,0.022,0.016,0.02,0.004,0.006,0.0,0.0419,0.006
toothbrush,0.2343,0.0017,0.0039,0.0,0.0,0.0,0.0,0.0004,0.0009,0.0004,0.0,0.0,0.0,0.0022,0.0026,0.0182,0.0078,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0022,0.0139,0.0017,0.0009,0.0,0.0004,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0004,0.1197,0.0017,0.0846,0.0022,0.0039,0.0043,0.0178,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0217,0.0126,0.0187,0.0165,0.0091,0.0859,0.0056,0.0026,0.0013,0.0017,0.0022,0.01,0.0026,0.0009,0.0,0.1852,0.0026,0.0226,0.0078,0.0126,0.0065,0.0043,0.0091,0.0,0.0252
